Nazwa pliku: Data/burma14.tsp.txt
Powtórzenia algorytmu: 10
Optymalny koszt: 3323
Otrzymany koszt: ;Wspó³czynnik b³êdu[j]: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[ms] ;Rozwi¹zania dla alpha = 1
Optymalny koszt:  ; 2707

Rozwi¹zania dla beta = 9
2868 ; 161 ; 5.94754 ; 89.5873 ; 
2868 ; 161 ; 5.94754 ; 94.6362 ; 
2868 ; 161 ; 5.94754 ; 93.6079 ; 
2868 ; 161 ; 5.94754 ; 88.9679 ; 
2868 ; 161 ; 5.94754 ; 91.9757 ; 
2868 ; 161 ; 5.94754 ; 89.5963 ; 
2868 ; 161 ; 5.94754 ; 88.9322 ; 
2868 ; 161 ; 5.94754 ; 97.8333 ; 
2868 ; 161 ; 5.94754 ; 89.9617 ; 
2923 ; 216 ; 7.97931 ; 87.7689 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 82.5099
Œredni wspó³czynnik b³êdu [j]:  ; 166.5
Œredni wspó³czynnik b³êdu [%]:  ; 6.15072
Optymalny koszt:  ; 2707

Nazwa pliku: Data/gr24.tsp.txt
Powtórzenia algorytmu: 10
Optymalny koszt: 1272
Otrzymany koszt: ;Wspó³czynnik b³êdu[j]: ;Wspó³czynnik b³êdu[%]: ;Czas wykonywania[ms] ;Rozwi¹zania dla alpha = 1
Rozwi¹zania dla beta = 6
1278 ; 6 ; 0.471698 ; 127.621 ; 
1278 ; 6 ; 0.471698 ; 124.625 ; 
1278 ; 6 ; 0.471698 ; 120.257 ; 
1278 ; 6 ; 0.471698 ; 123.022 ; 
1278 ; 6 ; 0.471698 ; 122.022 ; 
1278 ; 6 ; 0.471698 ; 125.47 ; 
1278 ; 6 ; 0.471698 ; 124.266 ; 
1298 ; 26 ; 2.04403 ; 118.948 ; 
1298 ; 26 ; 2.04403 ; 119.814 ; 
1298 ; 26 ; 2.04403 ; 116.81 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 110.605
Œredni wspó³czynnik b³êdu [j]:  ; 12
Œredni wspó³czynnik b³êdu [%]:  ; 0.943396
Optymalny koszt:  ; 1272

Rozwi¹zania dla beta = 7
1278 ; 6 ; 0.471698 ; 122.962 ; 
1278 ; 6 ; 0.471698 ; 121.549 ; 
1278 ; 6 ; 0.471698 ; 121.871 ; 
1278 ; 6 ; 0.471698 ; 128.297 ; 
1278 ; 6 ; 0.471698 ; 121.308 ; 
1278 ; 6 ; 0.471698 ; 137.946 ; 
1278 ; 6 ; 0.471698 ; 125.819 ; 
1278 ; 6 ; 0.471698 ; 124.665 ; 
1278 ; 6 ; 0.471698 ; 124.8 ; 
1278 ; 6 ; 0.471698 ; 126.756 ; 
Œredni czas wykonywania algorytmu [ms]:  ; 112.922
Œredni wspó³czynnik b³êdu [j]:  ; 6
Œredni wspó³czynnik b³êdu [%]:  ; 0.471698
Optymalny koszt:  ; 1272

Rozwi¹zania dla beta = 8
1306 ; 34 ; 2.67296 ; 120.447 ; 
1306 ; 34 ; 2.67296 ; 122.39 ; 
1306 ; 34 ; 2.67296 ; 118.895 ; 
1278 ; 6 ; 0.471698 ; 125.664 ; 
